;"FromIP";"ToIP";"RTT";"Distance";"CountryFrom";"CountryFromNo";"CountryTo";"CountryToNo";"ConnectionNo"
"1";"129.13.214.230";"213.73.40.105";0.0540316200256;977.2534;"Germany";8;"Spain";19;819
"2";"129.13.214.230";"194.167.254.19";0.0325198173523;409.2157;"Germany";8;"France";7;807
"3";"129.13.214.230";"193.55.112.40";0.0341510391235;442.7465;"Germany";8;"France";7;807
"4";"129.13.214.230";"157.181.175.249";0.020773973465;809.687;"Germany";8;"Hungary";10;810
"5";"129.13.214.230";"128.114.63.63";0.18089597702;9288.753;"Germany";8;"UnitedStates";24;824
"6";"129.13.214.230";"192.6.26.32";0.180281038284;9257.0136;"Germany";8;"UnitedStates";24;824
"7";"129.13.214.230";"198.7.242.42";0.109053096771;6013.7637;"Germany";8;"UnitedStates";24;824
"8";"129.13.214.230";"203.30.39.242";0.307245883942;10308.9575;"Germany";8;"Singapore";18;818
"9";"129.13.214.230";"219.243.208.62";0.202648820877;7880.7616;"Germany";8;"China";5;805
"10";"129.13.214.230";"151.97.9.224";0.0481253051758;1390.2252;"Germany";8;"Italy";11;811
"11";"129.13.214.230";"132.227.62.19";0.0250281620026;442.7465;"Germany";8;"France";7;807
"12";"129.13.214.230";"129.15.78.31";0.137888317108;8149.1255;"Germany";8;"UnitedStates";24;824
"13";"129.13.214.230";"134.76.81.91";0.0188308429718;302.2345;"Germany";8;"Germany";8;808
"14";"129.13.214.230";"202.244.160.251";0.296114301682;9279.1918;"Germany";8;"Japan";12;812
"15";"129.13.214.230";"143.107.111.235";0.260605735779;9740.6471;"Germany";8;"Brazil";3;803
"16";"129.13.214.230";"122.1.115.91";NA;9346.2201;"Germany";8;"Japan";12;812
"17";"129.13.214.230";"200.159.255.80";0.264609909058;9004.532;"Germany";8;"Brazil";3;803
"18";"129.13.214.230";"192.43.193.71";0.0082769203186;170.3291;"Germany";8;"Switzerland";21;821
"19";"129.13.214.230";"147.83.30.164";0.0507429027557;977.2534;"Germany";8;"Spain";19;819
"20";"129.13.214.230";"194.29.150.131";0.0224550151825;959.6449;"Germany";8;"Poland";16;816
"21";"129.13.214.230";"130.83.244.163";0.00453437805176;98.2619;"Germany";8;"Germany";8;808
"22";"129.13.214.230";"199.26.254.68";0.105255689621;6594.8122;"Germany";8;"UnitedStates";24;824
"23";"129.13.214.230";"140.114.79.231";0.321055707932;9457.1194;"Germany";8;"Taiwan";22;822
"24";"129.13.214.230";"155.98.35.7";0.152062702179;8448.1517;"Germany";8;"UnitedStates";24;824
"25";"129.13.214.230";"157.92.44.102";0.288820571899;11147.7849;"Germany";8;"Argentina";1;801
"26";"129.13.214.230";"140.192.249.203";0.397333850861;7022.5765;"Germany";8;"UnitedStates";24;824
"27";"129.13.214.230";"194.29.150.139";0.0226219081879;959.6449;"Germany";8;"Poland";16;816
"28";"129.13.214.230";"131.246.112.69";0.00419026374817;67.7761;"Germany";8;"Germany";8;808
"29";"129.13.214.230";"140.112.107.82";0.315283555984;9470.2797;"Germany";8;"Taiwan";22;822
"30";"129.13.214.230";"203.178.133.11";0.292134399414;9346.2201;"Germany";8;"Japan";12;812
"31";"129.13.214.230";"155.223.52.3";0;2935.0727;"Germany";8;"Turkey";23;823
"32";"129.13.214.230";"216.165.109.81";0.101303291321;6239.5145;"Germany";8;"UnitedStates";24;824
"33";"129.13.214.230";"155.225.2.72";0.118137979507;7209.8729;"Germany";8;"UnitedStates";24;824
"34";"129.13.214.230";"133.11.240.56";0.271486301422;9346.2201;"Germany";8;"Japan";12;812
"35";"129.13.214.230";"128.208.1.234";0.170478935242;8276.586;"Germany";8;"UnitedStates";24;824
"36";"129.13.214.230";"141.20.103.210";0.0209167671204;526.5447;"Germany";8;"Germany";8;808
"37";"129.13.214.230";"129.107.35.131";0.133182573318;8344.4939;"Germany";8;"UnitedStates";24;824
"38";"129.13.214.230";"150.140.140.93";0.0556162261963;1605.1898;"Germany";8;"Greece";9;809
"39";"129.13.214.230";"148.81.140.194";0.0226665592194;959.6449;"Germany";8;"Poland";16;816
"40";"129.13.214.230";"128.112.139.27";0.102472991943;6308.6128;"Germany";8;"UnitedStates";24;824
"41";"129.13.214.230";"72.36.112.78";0.119723052979;7193.5532;"Germany";8;"UnitedStates";24;824
"42";"129.13.214.230";"200.19.159.34";0.265015897751;9004.532;"Germany";8;"Brazil";3;803
"43";"129.13.214.230";"195.116.53.12";0.0323602104187;959.6449;"Germany";8;"Poland";16;816
"44";"129.13.214.230";"198.248.245.102";NA;7699.756;"Germany";8;"UnitedStates";24;824
"45";"129.13.214.230";"128.252.19.19";0.148005647659;7435.7231;"Germany";8;"UnitedStates";24;824
"46";"129.13.214.230";"157.92.44.101";0.292508563995;11147.7849;"Germany";8;"Argentina";1;801
"47";"129.13.214.230";"204.123.28.55";0.176082639694;9257.0136;"Germany";8;"UnitedStates";24;824
"48";"129.13.214.230";"141.22.213.37";0.0216634368896;518.2793;"Germany";8;"Germany";8;808
"49";"129.13.214.230";"131.114.53.187";0.0271366977692;516.3389;"Germany";8;"Italy";11;811
"50";"129.13.214.230";"198.248.244.101";0.272478113174;7699.756;"Germany";8;"UnitedStates";24;824
"51";"129.13.214.230";"132.187.230.24";0.00722992897034;226.4193;"Germany";8;"Germany";8;808
"52";"129.13.214.230";"129.105.15.38";0.120844068527;7012.318;"Germany";8;"UnitedStates";24;824
"53";"129.13.214.230";"130.237.50.125";0.0289212703705;1307.9439;"Germany";8;"Sweden";20;820
"54";"129.13.214.230";"198.248.246.19";NA;7699.756;"Germany";8;"UnitedStates";24;824
"55";"129.13.214.230";"128.119.41.211";NA;6029.4071;"Germany";8;"UnitedStates";24;824
"56";"129.13.214.230";"128.227.56.81";0.124938440323;7628.9068;"Germany";8;"UnitedStates";24;824
"57";"129.13.214.230";"129.10.120.194";0.104223909378;5938.6327;"Germany";8;"UnitedStates";24;824
"58";"129.13.214.230";"129.187.143.130";0.00821535110474;254.415;"Germany";8;"Germany";8;808
"59";"129.13.214.230";"130.104.72.201";0.0219786548615;336.7572;"Germany";8;"Belgium";2;802
"60";"129.13.214.230";"145.99.179.146";0.020465927124;449.372;"Germany";8;"Netherlands";14;814
"61";"129.13.214.230";"133.9.81.165";0.269453706741;9346.2201;"Germany";8;"Japan";12;812
"62";"129.13.214.230";"160.78.253.31";0.0247120189667;490.8979;"Germany";8;"Italy";11;811
"63";"129.13.214.230";"139.19.142.3";0.00749742507935;226.4193;"Germany";8;"Germany";8;808
"64";"129.13.214.230";"156.17.10.52";0.023400182724;660.1486;"Germany";8;"Poland";16;816
"65";"129.13.214.230";"193.174.155.36";NA;526.5447;"Germany";8;"Germany";8;808
"66";"129.13.214.230";"203.178.133.2";0.283900623322;9346.2201;"Germany";8;"Japan";12;812
"67";"129.13.214.230";"134.121.64.7";0.181858215332;8164.8121;"Germany";8;"UnitedStates";24;824
"68";"129.13.214.230";"141.24.33.192";0.011215877533;259.7634;"Germany";8;"Germany";8;808
"69";"129.13.214.230";"128.4.36.47";0.101049881715;6427.6312;"Germany";8;"UnitedStates";24;824
"70";"129.13.214.230";"129.187.143.80";0.00823456764221;254.415;"Germany";8;"Germany";8;808
"71";"129.13.214.230";"128.151.65.101";0.119640741348;6308.6043;"Germany";8;"UnitedStates";24;824
"72";"129.13.214.230";"192.33.90.66";0.00762970924377;182.748;"Germany";8;"Switzerland";21;821
"73";"129.13.214.230";"158.130.6.254";0.101956930161;6373.2549;"Germany";8;"UnitedStates";24;824
"74";"129.13.214.230";"194.29.178.13";0.0231531238556;959.6449;"Germany";8;"Poland";16;816
"75";"129.13.214.230";"134.75.238.112";0.287858018875;8738.8781;"Germany";8;"KoreaRepublicOf";13;813
"76";"129.13.214.230";"206.12.16.154";0.16405049324;8155.887;"Germany";8;"Canada";4;804
"77";"129.13.214.230";"129.22.150.78";0.112676477432;6677.1758;"Germany";8;"UnitedStates";24;824
"78";"129.13.214.230";"141.24.249.129";0.0124815559387;259.7634;"Germany";8;"Germany";8;808
"79";"129.13.214.230";"131.247.2.245";0.146103124619;7758.4935;"Germany";8;"UnitedStates";24;824
"80";"129.13.214.230";"128.220.231.5";0.106673202515;6510.4896;"Germany";8;"UnitedStates";24;824
"81";"129.13.214.230";"141.219.252.133";0.132974319458;6688.2638;"Germany";8;"UnitedStates";24;824
"82";"129.13.214.230";"144.206.66.58";0.0581093215942;2104.3285;"Germany";8;"RussianFederation";17;817
"83";"129.13.214.230";"206.117.37.6";0.182285108566;9394.1483;"Germany";8;"UnitedStates";24;824
"84";"129.13.214.230";"148.81.140.193";0.0226997661591;959.6449;"Germany";8;"Poland";16;816
"85";"129.13.214.230";"152.14.93.140";NA;6914.0423;"Germany";8;"UnitedStates";24;824
"86";"129.13.214.230";"129.21.30.116";0.124365844727;6313.2511;"Germany";8;"UnitedStates";24;824
"87";"129.13.214.230";"193.167.187.188";0.039302482605;1629.5399;"Germany";8;"Finland";6;806
"88";"129.13.214.230";"169.229.50.12";0.182127943039;9219.2051;"Germany";8;"UnitedStates";24;824
"89";"129.13.214.230";"128.42.142.42";0.141980091731;8484.6448;"Germany";8;"UnitedStates";24;824
"90";"129.13.214.230";"128.83.122.162";0.15377872467;8581.3206;"Germany";8;"UnitedStates";24;824
"91";"129.13.214.230";"198.133.224.149";0.121212291718;7038.228;"Germany";8;"UnitedStates";24;824
"92";"129.13.214.230";"202.249.37.69";0.284054059982;9346.2201;"Germany";8;"Japan";12;812
"93";"129.13.214.230";"132.239.17.224";0.175162591934;9451.0603;"Germany";8;"UnitedStates";24;824
"94";"129.13.214.230";"128.223.8.111";0.193928422928;8652.8167;"Germany";8;"UnitedStates";24;824
"95";"129.13.214.230";"130.83.244.180";0.00456765174866;98.2619;"Germany";8;"Germany";8;808
"96";"129.13.214.230";"213.19.160.194";NA;431.0377;"Germany";8;"Netherlands";14;814
"97";"129.13.214.230";"75.130.96.13";0.227836465836;5991.4307;"Germany";8;"UnitedStates";24;824
"98";"129.13.214.230";"202.112.28.98";0.236078996658;7880.7616;"Germany";8;"China";5;805
"99";"129.13.214.230";"129.97.74.14";0.123407020569;6469.3936;"Germany";8;"Canada";4;804
"100";"129.13.214.230";"155.185.55.185";0.0245820236206;519.8669;"Germany";8;"Italy";11;811
"101";"129.13.214.230";"130.216.1.22";0.293529815674;18294.3463;"Germany";8;"NewZealand";15;815
"102";"129.13.214.230";"137.165.1.114";NA;6060.412;"Germany";8;"UnitedStates";24;824
"103";"213.73.40.105";"129.13.214.230";0.0544009017944;977.2534;"Spain";19;"Germany";8;1908
"104";"213.73.40.105";"194.167.254.19";0.0445947128793;573.411;"Spain";19;"France";7;1907
"105";"213.73.40.105";"193.55.112.40";0.0694300937653;833.1311;"Spain";19;"France";7;1907
"106";"213.73.40.105";"157.181.175.249";0.0674007129669;1501.5584;"Spain";19;"Hungary";10;1910
"107";"213.73.40.105";"128.114.63.63";0.227325839996;9632.4511;"Spain";19;"UnitedStates";24;1924
"108";"213.73.40.105";"192.6.26.32";0.226933164597;9605.4813;"Spain";19;"UnitedStates";24;1924
"109";"213.73.40.105";"198.7.242.42";0.14792098999;5939.6711;"Spain";19;"UnitedStates";24;1924
"110";"213.73.40.105";"203.30.39.242";0.343096666336;10894.2978;"Spain";19;"Singapore";18;1918
"111";"213.73.40.105";"219.243.208.62";0.249390735626;8809.8044;"Spain";19;"China";5;1905
"112";"213.73.40.105";"151.97.9.224";0.0794962310791;1190.1235;"Spain";19;"Italy";11;1911
"113";"213.73.40.105";"132.227.62.19";0.0450809383392;833.1311;"Spain";19;"France";7;1907
"114";"213.73.40.105";"129.15.78.31";0.178222208023;8217.7963;"Spain";19;"UnitedStates";24;1924
"115";"213.73.40.105";"134.76.81.91";0.0656056118011;1274.9852;"Spain";19;"Germany";8;1908
"116";"213.73.40.105";"202.244.160.251";0.331333799362;10240.4515;"Spain";19;"Japan";12;1912
"117";"213.73.40.105";"143.107.111.235";0.277078409195;8804.9924;"Spain";19;"Brazil";3;1903
"118";"213.73.40.105";"122.1.115.91";NA;10316.8067;"Spain";19;"Japan";12;1912
"119";"213.73.40.105";"200.159.255.80";0.251457166672;8171.0775;"Spain";19;"Brazil";3;1903
"120";"213.73.40.105";"192.43.193.71";0.0471671962738;811.2713;"Spain";19;"Switzerland";21;1921
"121";"213.73.40.105";"147.83.30.164";0.00769487380981;0;"Spain";19;"Spain";19;1919
"122";"213.73.40.105";"194.29.150.131";0.0687124919891;1865.7671;"Spain";19;"Poland";16;1916
"123";"213.73.40.105";"130.83.244.163";0.0514155769348;1069.572;"Spain";19;"Germany";8;1908
"124";"213.73.40.105";"199.26.254.68";0.150945644379;6524.4187;"Spain";19;"UnitedStates";24;1924
"125";"213.73.40.105";"140.114.79.231";0.345909158389;10341.9078;"Spain";19;"Taiwan";22;1922
"126";"213.73.40.105";"155.98.35.7";0.191457672119;8724.6808;"Spain";19;"UnitedStates";24;1924
"127";"213.73.40.105";"157.92.44.102";0.297258958817;10286.2753;"Spain";19;"Argentina";1;1901
"128";"213.73.40.105";"140.192.249.203";0.495808830261;7090.4563;"Spain";19;"UnitedStates";24;1924
"129";"213.73.40.105";"194.29.150.139";0.0689454078674;1865.7671;"Spain";19;"Poland";16;1916
"130";"213.73.40.105";"131.246.112.69";0.0573078918457;997.1085;"Spain";19;"Germany";8;1908
"131";"213.73.40.105";"140.112.107.82";0.346649259329;10358.923;"Spain";19;"Taiwan";22;1922
"132";"213.73.40.105";"203.178.133.11";0.335348749161;10316.8067;"Spain";19;"Japan";12;1912
"133";"213.73.40.105";"155.223.52.3";0;3380.472;"Spain";19;"Turkey";23;1923
"134";"213.73.40.105";"216.165.109.81";0.147312059402;6171.5642;"Spain";19;"UnitedStates";24;1924
"135";"213.73.40.105";"155.225.2.72";2.41912977894;7071.1123;"Spain";19;"UnitedStates";24;1924
"136";"213.73.40.105";"133.11.240.56";0.364669027328;10316.8067;"Spain";19;"Japan";12;1912
"137";"213.73.40.105";"128.208.1.234";0.214808635712;8718.6284;"Spain";19;"UnitedStates";24;1924
"138";"213.73.40.105";"141.20.103.210";0.0674210834503;1500.3813;"Spain";19;"Germany";8;1908
"139";"213.73.40.105";"129.107.35.131";0.173388748169;8380.8266;"Spain";19;"UnitedStates";24;1924
"140";"213.73.40.105";"150.140.140.93";0.0995435810089;1703.9879;"Spain";19;"Greece";9;1909
"141";"213.73.40.105";"148.81.140.194";0.0689823532104;1865.7671;"Spain";19;"Poland";16;1916
"142";"213.73.40.105";"128.112.139.27";0.145319318771;6240.3041;"Spain";19;"UnitedStates";24;1924
"143";"213.73.40.105";"72.36.112.78";0.159748678207;7240.4865;"Spain";19;"UnitedStates";24;1924
"144";"213.73.40.105";"200.19.159.34";0.251496601105;8171.0775;"Spain";19;"Brazil";3;1903
"145";"213.73.40.105";"195.116.53.12";0.0859788703918;1865.7671;"Spain";19;"Poland";16;1916
"146";"213.73.40.105";"198.248.245.102";NA;7796.4779;"Spain";19;"UnitedStates";24;1924
"147";"213.73.40.105";"128.252.19.19";0.169781093597;7481.3633;"Spain";19;"UnitedStates";24;1924
"148";"213.73.40.105";"157.92.44.101";0.296928329468;10286.2753;"Spain";19;"Argentina";1;1901
"149";"213.73.40.105";"204.123.28.55";0.221264743805;9605.4813;"Spain";19;"UnitedStates";24;1924
"150";"213.73.40.105";"141.22.213.37";0.0682524967194;1474.502;"Spain";19;"Germany";8;1908
"151";"213.73.40.105";"131.114.53.187";0.0592609786987;663.1723;"Spain";19;"Italy";11;1911
"152";"213.73.40.105";"198.248.244.101";0.309195261002;7796.4779;"Spain";19;"UnitedStates";24;1924
"153";"213.73.40.105";"132.187.230.24";0.0538592529297;1191.2313;"Spain";19;"Germany";8;1908
"154";"213.73.40.105";"129.105.15.38";0.170644798279;7083.4076;"Spain";19;"UnitedStates";24;1924
"155";"213.73.40.105";"130.237.50.125";0.0754064818223;2280.7126;"Spain";19;"Sweden";20;1920
"156";"213.73.40.105";"198.248.246.19";NA;7796.4779;"Spain";19;"UnitedStates";24;1924
"157";"213.73.40.105";"128.119.41.211";NA;5978.7299;"Spain";19;"UnitedStates";24;1924
"158";"213.73.40.105";"128.227.56.81";NA;7469.6712;"Spain";19;"UnitedStates";24;1924
"159";"213.73.40.105";"129.10.120.194";0.150671443939;5875.1285;"Spain";19;"UnitedStates";24;1924
"160";"213.73.40.105";"129.187.143.130";0.0598912620544;1067.6377;"Spain";19;"Germany";8;1908
"161";"213.73.40.105";"130.104.72.201";0.0686228561401;1075.0359;"Spain";19;"Belgium";2;1902
"162";"213.73.40.105";"145.99.179.146";0.075228376822;1225.6322;"Spain";19;"Netherlands";14;1914
"163";"213.73.40.105";"133.9.81.165";0.315352554321;10316.8067;"Spain";19;"Japan";12;1912
"164";"213.73.40.105";"160.78.253.31";0.0556896626949;763.4101;"Spain";19;"Italy";11;1911
"165";"213.73.40.105";"139.19.142.3";0.0593265628815;1191.2313;"Spain";19;"Germany";8;1908
"166";"213.73.40.105";"156.17.10.52";0.0699259185791;1568.413;"Spain";19;"Poland";16;1916
"167";"213.73.40.105";"193.174.155.36";NA;1500.3813;"Spain";19;"Germany";8;1908
"168";"213.73.40.105";"203.178.133.2";0.315528154373;10316.8067;"Spain";19;"Japan";12;1912
"169";"213.73.40.105";"134.121.64.7";0.228204994202;8558.6045;"Spain";19;"UnitedStates";24;1924
"170";"213.73.40.105";"141.24.33.192";0.0577602100372;1233.2555;"Spain";19;"Germany";8;1908
"171";"213.73.40.105";"128.4.36.47";0.144966859818;6353.8025;"Spain";19;"UnitedStates";24;1924
"172";"213.73.40.105";"129.187.143.80";0.0598782730103;1067.6377;"Spain";19;"Germany";8;1908
"173";"213.73.40.105";"128.151.65.101";0.153769016266;6311.9376;"Spain";19;"UnitedStates";24;1924
"174";"213.73.40.105";"192.33.90.66";0.0484990215302;836.2109;"Spain";19;"Switzerland";21;1921
"175";"213.73.40.105";"158.130.6.254";0.129863519669;6302.5495;"Spain";19;"UnitedStates";24;1924
"176";"213.73.40.105";"194.29.178.13";0.0698988246918;1865.7671;"Spain";19;"Poland";16;1916
"177";"213.73.40.105";"134.75.238.112";0.441804628372;9690.4548;"Spain";19;"KoreaRepublicOf";13;1913
"178";"213.73.40.105";"206.12.16.154";0.213058309555;8619.097;"Spain";19;"Canada";4;1904
"179";"213.73.40.105";"129.22.150.78";0.141668949127;6687.184;"Spain";19;"UnitedStates";24;1924
"180";"213.73.40.105";"141.24.249.129";0.0593359172344;1233.2555;"Spain";19;"Germany";8;1908
"181";"213.73.40.105";"131.247.2.245";0.179863176346;7578.297;"Spain";19;"UnitedStates";24;1924
"182";"213.73.40.105";"128.220.231.5";0.138308324814;6441.5576;"Spain";19;"UnitedStates";24;1924
"183";"213.73.40.105";"141.219.252.133";0.152237882614;6845.0391;"Spain";19;"UnitedStates";24;1924
"184";"213.73.40.105";"144.206.66.58";0.104377012253;3012.4877;"Spain";19;"RussianFederation";17;1917
"185";"213.73.40.105";"206.117.37.6";0.208752727509;9669.7315;"Spain";19;"UnitedStates";24;1924
"186";"213.73.40.105";"148.81.140.193";0.0692837333679;1865.7671;"Spain";19;"Poland";16;1916
"187";"213.73.40.105";"152.14.93.140";NA;6807.7238;"Spain";19;"UnitedStates";24;1924
"188";"213.73.40.105";"129.21.30.116";0.153585958481;6316.1425;"Spain";19;"UnitedStates";24;1924
"189";"213.73.40.105";"193.167.187.188";0.0860828399658;2606.4128;"Spain";19;"Finland";6;1906
"190";"213.73.40.105";"169.229.50.12";0.228494243622;9572.4812;"Spain";19;"UnitedStates";24;1924
"191";"213.73.40.105";"128.42.142.42";0.173156375885;8462.9511;"Spain";19;"UnitedStates";24;1924
"192";"213.73.40.105";"128.83.122.162";0.192397842407;8591.6028;"Spain";19;"UnitedStates";24;1924
"193";"213.73.40.105";"198.133.224.149";0.16818602562;7139.3931;"Spain";19;"UnitedStates";24;1924
"194";"213.73.40.105";"202.249.37.69";0.314797439575;10316.8067;"Spain";19;"Japan";12;1912
"195";"213.73.40.105";"132.239.17.224";0.221378631592;9703.5714;"Spain";19;"UnitedStates";24;1924
"196";"213.73.40.105";"128.223.8.111";0.19866071701;9069.2415;"Spain";19;"UnitedStates";24;1924
"197";"213.73.40.105";"130.83.244.180";0.0508097743988;1069.572;"Spain";19;"Germany";8;1908
"198";"213.73.40.105";"213.19.160.194";NA;1266.438;"Spain";19;"Netherlands";14;1914
"199";"213.73.40.105";"75.130.96.13";0.143212766647;5932.3718;"Spain";19;"UnitedStates";24;1924
"200";"213.73.40.105";"202.112.28.98";0.279368343353;8809.8044;"Spain";19;"China";5;1905
"201";"213.73.40.105";"129.97.74.14";0.157206449509;6502.2673;"Spain";19;"Canada";4;1904
"202";"213.73.40.105";"155.185.55.185";0.0553571033478;798.6101;"Spain";19;"Italy";11;1911
"203";"213.73.40.105";"130.216.1.22";0.340546646118;19223.7299;"Spain";19;"NewZealand";15;1915
"204";"213.73.40.105";"137.165.1.114";NA;6019.8386;"Spain";19;"UnitedStates";24;1924
"205";"194.167.254.19";"129.13.214.230";0.026329908371;409.2157;"France";7;"Germany";8;708
"206";"194.167.254.19";"213.73.40.105";0.0412536716461;573.411;"France";7;"Spain";19;719
"207";"194.167.254.19";"193.55.112.40";0.025576467514;460.4193;"France";7;"France";7;707
"208";"194.167.254.19";"157.181.175.249";0.0430740070343;1008.3587;"France";7;"Hungary";10;710
"209";"194.167.254.19";"128.114.63.63";0.200415658951;9477.5533;"France";7;"UnitedStates";24;724
"210";"194.167.254.19";"192.6.26.32";0.206091070175;9447.6349;"France";7;"UnitedStates";24;724
"211";"194.167.254.19";"198.7.242.42";0.121681108475;6020.1091;"France";7;"UnitedStates";24;724
"212";"194.167.254.19";"203.30.39.242";0.226286449432;10512.7167;"France";7;"Singapore";18;718
"213";"194.167.254.19";"219.243.208.62";0.219270973206;8250.6343;"France";7;"China";5;705
"214";"194.167.254.19";"151.97.9.224";0.0511179542542;1171.7151;"France";7;"Italy";11;711
"215";"194.167.254.19";"132.227.62.19";0.01084608078;460.4193;"France";7;"France";7;707
"216";"194.167.254.19";"129.15.78.31";0.151233921051;8222.8017;"France";7;"UnitedStates";24;724
"217";"194.167.254.19";"134.76.81.91";0.0375844478607;710.9828;"France";7;"Germany";8;708
"218";"194.167.254.19";"202.244.160.251";0.321635866165;9669.4868;"France";7;"Japan";12;712
"219";"194.167.254.19";"143.107.111.235";0.264090719223;9366.2845;"France";7;"Brazil";3;703
"220";"194.167.254.19";"122.1.115.91";NA;9743.6251;"France";7;"Japan";12;712
"221";"194.167.254.19";"200.159.255.80";0.261633729935;8683.4766;"France";7;"Brazil";3;703
"222";"194.167.254.19";"192.43.193.71";0.0191375541687;239.8633;"France";7;"Switzerland";21;721
"223";"194.167.254.19";"147.83.30.164";0.04526512146;573.411;"France";7;"Spain";19;719
"224";"194.167.254.19";"194.29.150.131";0.0489441490173;1305.9576;"France";7;"Poland";16;716
"225";"194.167.254.19";"130.83.244.163";0.0391415786743;505.1598;"France";7;"Germany";8;708
"226";"194.167.254.19";"199.26.254.68";0.127161607742;6605.1086;"France";7;"UnitedStates";24;724
"227";"194.167.254.19";"140.114.79.231";0.336391716003;9803.2187;"France";7;"Taiwan";22;722
"228";"194.167.254.19";"155.98.35.7";0.177955617905;8607.8032;"France";7;"UnitedStates";24;724
"229";"194.167.254.19";"157.92.44.102";0.284616060257;10814.1599;"France";7;"Argentina";1;701
"230";"194.167.254.19";"140.192.249.203";0.585424985886;7092.2108;"France";7;"UnitedStates";24;724
"231";"194.167.254.19";"194.29.150.139";0.0458520698547;1305.9576;"France";7;"Poland";16;716
"232";"194.167.254.19";"131.246.112.69";0.0291903781891;439.3954;"France";7;"Germany";8;708
"233";"194.167.254.19";"140.112.107.82";0.350379476547;9818.4225;"France";7;"Taiwan";22;722
"234";"194.167.254.19";"203.178.133.11";0.311471786499;9743.6251;"France";7;"Japan";12;712
"235";"194.167.254.19";"155.223.52.3";0;3047.5928;"France";7;"Turkey";23;723
"236";"194.167.254.19";"216.165.109.81";0.115708017349;6249.4053;"France";7;"UnitedStates";24;724
"237";"194.167.254.19";"155.225.2.72";0.136708097458;7193.6455;"France";7;"UnitedStates";24;724
"238";"194.167.254.19";"133.11.240.56";0.314837417603;9743.6251;"France";7;"Japan";12;712
"239";"194.167.254.19";"128.208.1.234";0.203620090485;8501.9269;"France";7;"UnitedStates";24;724
"240";"194.167.254.19";"141.20.103.210";0.0397355461121;927.6624;"France";7;"Germany";8;708
"241";"194.167.254.19";"129.107.35.131";0.156628732681;8405.352;"France";7;"UnitedStates";24;724
"242";"194.167.254.19";"150.140.140.93";0.0775588607788;1525.9256;"France";7;"Greece";9;709
"243";"194.167.254.19";"148.81.140.194";0.0412672901154;1305.9576;"France";7;"Poland";16;716
"244";"194.167.254.19";"128.112.139.27";0.11815618515;6318.6397;"France";7;"UnitedStates";24;724
"245";"194.167.254.19";"72.36.112.78";0.139791994095;7255.0859;"France";7;"UnitedStates";24;724
"246";"194.167.254.19";"200.19.159.34";0.253273286819;8683.4766;"France";7;"Brazil";3;703
"247";"194.167.254.19";"195.116.53.12";0.0440822029114;1305.9576;"France";7;"Poland";16;716
"248";"194.167.254.19";"198.248.245.102";NA;7783.6272;"France";7;"UnitedStates";24;724
"249";"194.167.254.19";"128.252.19.19";0.186003818512;7497.5466;"France";7;"UnitedStates";24;724
"250";"194.167.254.19";"157.92.44.101";0.284027118683;10814.1599;"France";7;"Argentina";1;701
"251";"194.167.254.19";"204.123.28.55";0.161594085693;9447.6349;"France";7;"UnitedStates";24;724
"252";"194.167.254.19";"141.22.213.37";0.040368719101;921.5395;"France";7;"Germany";8;708
"253";"194.167.254.19";"131.114.53.187";0.0326643276215;276.2355;"France";7;"Italy";11;711
"254";"194.167.254.19";"198.248.244.101";0.291893949509;7783.6272;"France";7;"UnitedStates";24;724
"255";"194.167.254.19";"132.187.230.24";0.0257893371582;631.278;"France";7;"Germany";8;708
"256";"194.167.254.19";"129.105.15.38";0.135503921509;7083.2483;"France";7;"UnitedStates";24;724
"257";"194.167.254.19";"130.237.50.125";0.0480211639404;1717.159;"France";7;"Sweden";20;720
"258";"194.167.254.19";"198.248.246.19";NA;7783.6272;"France";7;"UnitedStates";24;724
"259";"194.167.254.19";"128.119.41.211";NA;6045.6455;"France";7;"UnitedStates";24;724
"260";"194.167.254.19";"128.227.56.81";0.169354686737;7605.4312;"France";7;"UnitedStates";24;724
"261";"194.167.254.19";"129.10.120.194";0.114442634583;5949.0894;"France";7;"UnitedStates";24;724
"262";"194.167.254.19";"129.187.143.130";0.0451462936401;507.1383;"France";7;"Germany";8;708
"263";"194.167.254.19";"130.104.72.201";0.0328131866455;592.5864;"France";7;"Belgium";2;702
"264";"194.167.254.19";"145.99.179.146";0.0313955116272;744.9996;"France";7;"Netherlands";14;714
"265";"194.167.254.19";"133.9.81.165";0.288278093338;9743.6251;"France";7;"Japan";12;712
"266";"194.167.254.19";"160.78.253.31";0.0309460067749;340.0633;"France";7;"Italy";11;711
"267";"194.167.254.19";"139.19.142.3";0.0396384048462;631.278;"France";7;"Germany";8;708
"268";"194.167.254.19";"156.17.10.52";0.0418534183502;1005.1387;"France";7;"Poland";16;716
"269";"194.167.254.19";"193.174.155.36";NA;927.6624;"France";7;"Germany";8;708
"270";"194.167.254.19";"203.178.133.2";0.304627542496;9743.6251;"France";7;"Japan";12;712
"271";"194.167.254.19";"134.121.64.7";0.196163873672;8370.7546;"France";7;"UnitedStates";24;724
"272";"194.167.254.19";"141.24.33.192";0.0298185634613;661.0811;"France";7;"Germany";8;708
"273";"194.167.254.19";"128.4.36.47";0.126444950104;6435.8247;"France";7;"UnitedStates";24;724
"274";"194.167.254.19";"129.187.143.80";0.0319898319244;507.1383;"France";7;"Germany";8;708
